ElapsedSec,ALT,Pres
30.18,-29.04,101674.33
30.25,-29.04,101674.33
30.32,-29.04,101674.33
30.38,-29.04,101674.33
30.45,-29.04,101674.33
30.52,-29.04,101674.33
30.58,-29.04,101674.33
30.65,-29.04,101674.33
30.71,-29.04,101674.33
30.78,-29.04,101674.33
30.85,-29.04,101674.33
30.91,-29.04,101674.33
30.98,-29.04,101674.33
31.05,-29.04,101674.33
31.11,-29.04,101674.33
31.18,-29.04,101674.33
31.25,-29.04,101674.33
31.31,-29.04,101674.33
31.38,-29.04,101674.33
31.45,-29.04,101674.33
31.52,-29.04,101674.33
31.58,-29.04,101674.33
31.65,-29.04,101674.33
31.72,-29.04,101674.33
31.79,-29.04,101674.33
31.85,-29.04,101674.33
31.92,-29.04,101674.33
31.99,-29.04,101674.33
32.05,-29.04,101674.33
32.12,-29.04,101674.33
32.18,-29.04,101674.33
32.25,-29.04,101674.33
32.32,-29.04,101674.33
32.38,-29.04,101674.33
32.45,-29.04,101674.33
32.51,-29.04,101674.33
32.58,-29.04,101674.33
32.65,-29.04,101674.33
32.71,-29.04,101674.33
32.78,-29.04,101674.33
32.84,-29.04,101674.33
32.91,-29.04,101674.33
32.98,-29.04,101674.33
33.04,-29.04,101674.33
33.11,-29.04,101674.33
33.17,-29.04,101674.33
33.24,-29.04,101674.33
33.31,-29.04,101674.33
33.37,-29.04,101674.33
33.44,-29.04,101674.33
33.51,-29.04,101674.33
33.57,-29.04,101674.33
33.64,-29.04,101674.33
33.71,-29.04,101674.33
33.77,-29.04,101674.33
33.84,-29.04,101674.33
33.9,-29.04,101674.33
33.97,-29.04,101674.33
34.04,-29.04,101674.33
34.11,-29.04,101674.33
34.18,-29.04,101674.33
34.24,-29.04,101674.33
34.31,-29.04,101674.33
34.37,-29.04,101674.33
34.44,-29.04,101674.33
34.51,-29.04,101674.33
34.57,-29.04,101674.33
34.64,-29.04,101674.33
34.71,-29.04,101674.33
34.77,-29.04,101674.33
34.84,-29.04,101674.33
34.9,-29.04,101674.33
34.97,-29.04,101674.33
35.04,-29.04,101674.33
35.1,-29.04,101674.33
35.17,-29.04,101674.33
35.24,-29.04,101674.33
35.3,-29.04,101674.33
35.37,-29.04,101674.33
35.44,-29.04,101674.33
35.5,-29.04,101674.33
35.57,-29.04,101674.33
35.63,-29.04,101674.33
35.7,-29.04,101674.33
35.77,-29.04,101674.33
35.83,-29.04,101674.33
35.9,-29.04,101674.33
35.97,-29.04,101674.33
36.03,-29.04,101674.33
36.1,-29.04,101674.33
36.17,-29.04,101674.33
36.23,-29.04,101674.33
36.3,-29.04,101674.33
36.37,-29.04,101674.33
36.43,-29.04,101674.33
36.5,-29.04,101674.33
36.56,-29.04,101674.33
36.63,-29.04,101674.33
36.7,-29.04,101674.33
36.76,-29.04,101674.33
36.83,-29.04,101674.33
36.9,-29.04,101674.33
36.96,-29.04,101674.33
37.03,-29.04,101674.33
37.1,-29.04,101674.33
37.16,-29.04,101674.33
37.23,-29.04,101674.33
37.3,-29.04,101674.33
37.36,-29.04,101674.33
37.43,-29.04,101674.33
37.5,-29.04,101674.33
37.56,-29.04,101674.33
37.63,-29.04,101674.33
37.7,-29.04,101674.33
37.76,-29.04,101674.33
37.83,-29.04,101674.33
37.9,-29.04,101674.33
37.96,-29.04,101674.33
38.03,-29.04,101674.33
38.1,-29.04,101674.33
38.16,-29.04,101674.33
38.23,-29.04,101674.33
38.3,-29.04,101674.33
38.36,-29.04,101674.33
38.43,-29.04,101674.33
38.5,-29.04,101674.33
38.57,-29.04,101674.33
38.63,-29.04,101674.33
38.7,-29.04,101674.33
38.77,-29.04,101674.33
38.83,-29.04,101674.33
38.9,-29.04,101674.33
38.96,-29.04,101674.33
39.03,-29.04,101674.33
39.1,-29.04,101674.33
39.16,-29.04,101674.33
