ElapsedSec,AccX,AccY,AccZ
45.93,-8.84,-0.45,4.15
46.0,-8.84,-0.45,4.15
46.06,-8.84,-0.45,4.15
46.13,-8.84,-0.45,4.15
46.2,-8.84,-0.45,4.15
46.26,-8.84,-0.45,4.15
46.33,-8.84,-0.45,4.15
46.4,-8.84,-0.45,4.15
46.46,-8.84,-0.45,4.15
46.53,-8.84,-0.45,4.15
46.6,-8.84,-0.45,4.15
46.66,-8.84,-0.45,4.15
46.73,-8.84,-0.45,4.15
46.79,-8.84,-0.45,4.15
46.86,-8.84,-0.45,4.15
46.93,-8.84,-0.45,4.15
46.99,-8.84,-0.45,4.15
47.06,-8.84,-0.45,4.15
47.12,-8.84,-0.45,4.15
47.19,-8.84,-0.45,4.15
47.26,-8.84,-0.45,4.15
47.32,-8.84,-0.45,4.15
47.39,-8.84,-0.45,4.15
47.46,-8.84,-0.45,4.15
47.52,-8.84,-0.45,4.15
47.59,-8.84,-0.45,4.15
47.66,-8.84,-0.45,4.15
47.73,-8.84,-0.45,4.15
47.8,-8.84,-0.45,4.15
47.86,-8.84,-0.45,4.15
47.93,-8.84,-0.45,4.15
48.0,-8.84,-0.45,4.15
48.06,-8.84,-0.45,4.15
48.13,-8.84,-0.45,4.15
48.19,-8.84,-0.45,4.15
48.26,-8.84,-0.45,4.15
48.33,-8.84,-0.45,4.15
48.39,-8.84,-0.45,4.15
48.46,-8.84,-0.45,4.15
48.53,-8.84,-0.45,4.15
48.59,-8.84,-0.45,4.15
48.66,-8.84,-0.45,4.15
48.72,-8.84,-0.45,4.15
48.79,-8.84,-0.45,4.15
48.87,-8.84,-0.45,4.15
48.95,-8.84,-0.45,4.15
49.03,-8.84,-0.45,4.15
49.1,-8.84,-0.45,4.15
49.17,-8.84,-0.45,4.15
49.26,-8.84,-0.45,4.15
49.33,-8.84,-0.45,4.15
49.4,-8.84,-0.45,4.15
49.46,-8.84,-0.45,4.15
49.53,-8.84,-0.45,4.15
49.6,-8.84,-0.45,4.15
49.66,-8.84,-0.45,4.15
49.73,-8.84,-0.45,4.15
49.8,-8.84,-0.45,4.15
49.86,-8.84,-0.45,4.15
49.93,-8.84,-0.45,4.15
50.0,-8.84,-0.45,4.15
50.06,-8.84,-0.45,4.15
50.13,-8.84,-0.45,4.15
