ElapsedSec,ConeDir,ConeProb,ConeMethod,ObstacleDist
2.48,0.5,0.0,,999.0
2.55,0.5,0.0,,999.0
2.62,0.5,0.0,,999.0
2.68,0.5,0.0,,999.0
2.75,0.5,0.0,,999.0
2.81,0.5,0.0,,999.0
2.88,0.5,0.0,,999.0
2.94,0.5,0.0,,999.0
3.01,0.5,0.0,,999.0
3.08,0.5,0.0,,999.0
3.14,0.5,0.0,,999.0
3.21,0.5,0.0,,999.0
3.27,0.5,0.0,,999.0
3.34,0.5,0.0,,999.0
3.41,0.5,0.0,,999.0
3.47,0.5,0.0,,999.0
3.54,0.5,0.0,,999.0
3.61,0.5,0.0,,999.0
3.67,0.5,0.0,,999.0
3.74,0.5,0.0,,999.0
3.81,0.5,0.0,,999.0
3.87,0.5,0.0,,999.0
3.94,0.5,0.0,,999.0
4.01,0.5,0.0,,999.0
4.07,0.5,0.0,,999.0
4.16,0.5,0.0,,999.0
4.22,0.5,0.0,,999.0
4.29,0.5,0.0,,999.0
4.36,0.5,0.0,,999.0
4.43,0.5,0.0,,999.0
4.5,0.5,0.0,,999.0
4.56,0.5,0.0,,999.0
4.63,0.5,0.0,,999.0
4.69,0.5,0.0,,999.0
4.76,0.5,0.0,,999.0
4.83,0.5,0.0,,999.0
4.9,0.5,0.0,,999.0
4.97,0.5,0.0,,999.0
5.03,0.5,0.0,,999.0
5.1,0.5,0.0,,999.0
5.16,0.5,0.0,,999.0
5.23,0.5,0.0,,999.0
5.3,0.5,0.0,,999.0
5.36,0.5,0.0,,999.0
5.43,0.5,0.0,,999.0
5.5,0.5,0.0,,999.0
5.56,0.5,0.0,,999.0
5.63,0.5,0.0,,999.0
5.69,0.5,0.0,,999.0
5.76,0.5,0.0,,999.0
5.82,0.5,0.0,,999.0
5.89,0.5,0.0,,999.0
5.96,0.5,0.0,,999.0
6.02,0.5,0.0,,999.0
6.09,0.5,0.0,,999.0
6.15,0.5,0.0,,999.0
6.22,0.5,0.0,,999.0
6.29,0.5,0.0,,999.0
6.36,0.5,0.0,,999.0
6.42,0.5,0.0,,999.0
6.49,0.5,0.0,,999.0
6.56,0.5,0.0,,999.0
6.62,0.5,0.0,,999.0
6.69,0.5,0.0,,999.0
6.75,0.5,0.0,,999.0
6.82,0.5,0.0,,999.0
6.89,0.5,0.0,,999.0
6.95,0.5,0.0,,999.0
7.02,0.5,0.0,,999.0
7.08,0.5,0.0,,999.0
7.15,0.5,0.0,,999.0
7.22,0.5,0.0,,999.0
7.28,0.5,0.0,,999.0
7.35,0.5,0.0,,999.0
7.42,0.5,0.0,,999.0
7.48,0.5,0.0,,999.0
7.55,0.5,0.0,,999.0
7.62,0.5,0.0,,999.0
7.68,0.5,0.0,,999.0
7.75,0.5,0.0,,999.0
7.81,0.5,0.0,,999.0
7.88,0.5,0.0,,999.0
7.95,0.5,0.0,,999.0
8.01,0.5,0.0,,999.0
8.08,0.5,0.0,,999.0
8.15,0.5,0.0,,999.0
8.21,0.5,0.0,,999.0
8.28,0.5,0.0,,999.0
8.34,0.5,0.0,,999.0
8.41,0.5,0.0,,999.0
8.48,0.5,0.0,,999.0
8.55,0.5,0.0,,999.0
8.61,0.5,0.0,,999.0
8.68,0.5,0.0,,999.0
8.75,0.5,0.0,,999.0
8.81,0.5,0.0,,999.0
8.88,0.5,0.0,,999.0
8.95,0.5,0.0,,999.0
9.01,0.5,0.0,,999.0
9.08,0.5,0.0,,999.0
9.15,0.5,0.0,,999.0
9.21,0.5,0.0,,999.0
9.28,0.5,0.0,,999.0
9.35,0.5,0.0,,999.0
9.42,0.5,0.0,,999.0
9.48,0.5,0.0,,999.0
9.55,0.5,0.0,,999.0
9.62,0.5,0.0,,999.0
9.68,0.5,0.0,,999.0
9.75,0.5,0.0,,999.0
9.82,0.5,0.0,,999.0
9.88,0.5,0.0,,999.0
9.95,0.5,0.0,,999.0
10.02,0.5,0.0,,999.0
10.08,0.5,0.0,,999.0
10.15,0.5,0.0,,999.0
10.22,0.5,0.0,,999.0
10.28,0.5,0.0,,999.0
10.35,0.5,0.0,,999.0
10.42,0.5,0.0,,999.0
10.48,0.5,0.0,,999.0
10.55,0.5,0.0,,999.0
10.62,0.5,0.0,,999.0
10.68,0.5,0.0,,999.0
10.75,0.5,0.0,,999.0
10.82,0.5,0.0,,999.0
10.89,0.5,0.0,,999.0
10.96,0.5,0.0,,999.0
11.02,0.5,0.0,,999.0
11.09,0.5,0.0,,999.0
11.16,0.5,0.0,,999.0
11.22,0.5,0.0,,999.0
11.29,0.5,0.0,,999.0
11.35,0.5,0.0,,999.0
11.42,0.5,0.0,,999.0
11.49,0.5,0.0,,999.0
11.55,0.5,0.0,,999.0
11.62,0.5,0.0,,999.0
11.68,0.5,0.0,,999.0
