ElapsedSec,Phase,AnomalyCount,HighlightAnomalyCount,MissingCount
202.74,1,1,1,0
202.81,1,1,1,0
202.88,1,1,1,0
202.94,1,1,1,0
203.01,1,1,1,0
203.07,1,1,1,0
203.14,1,1,1,0
203.21,1,1,1,0
203.27,1,1,1,0
203.34,1,1,1,0
203.41,1,1,1,0
203.47,1,1,1,0
203.54,1,1,1,0
203.6,1,1,1,0
203.67,1,1,1,0
203.74,1,1,1,0
203.8,1,1,1,0
203.87,1,1,1,0
203.93,1,1,1,0
204.0,1,1,1,0
204.07,1,1,1,0
204.13,1,1,1,0
204.2,1,1,1,0
204.27,1,1,1,0
204.33,1,1,1,0
204.4,1,1,1,0
204.46,1,1,1,0
204.53,1,1,1,0
204.6,1,1,1,0
204.66,1,1,1,0
204.73,1,1,1,0
204.8,1,1,1,0
204.86,1,1,1,0
204.93,1,1,1,0
204.99,1,1,1,0
205.06,1,1,1,0
205.13,1,1,1,0
205.19,1,1,1,0
205.26,1,1,1,0
205.33,1,1,1,0
205.39,1,1,1,0
205.46,1,1,1,0
205.53,1,1,1,0
205.59,1,1,1,0
205.66,1,1,1,0
205.73,1,1,1,0
205.79,1,1,1,0
205.86,1,1,1,0
205.92,1,1,1,0
205.99,1,1,1,0
206.06,1,1,1,0
206.13,1,1,1,0
206.19,1,1,1,0
206.26,1,1,1,0
206.32,1,1,1,0
206.39,1,1,1,0
206.46,1,1,1,0
206.52,1,1,1,0
206.59,1,1,1,0
206.66,1,1,1,0
206.72,1,1,1,0
206.79,1,1,1,0
206.86,1,1,1,0
206.92,1,1,1,0
206.99,1,1,1,0
207.06,1,1,1,0
207.12,1,1,1,0
207.19,1,1,1,0
207.26,1,1,1,0
207.32,1,1,1,0
207.39,1,1,1,0
207.46,1,1,1,0
207.52,1,1,1,0
207.59,1,1,1,0
207.66,1,1,1,0
207.72,1,1,1,0
207.79,1,1,1,0
207.86,1,1,1,0
207.92,1,1,1,0
207.99,1,1,1,0
208.06,1,1,1,0
208.13,1,1,1,0
208.19,1,1,1,0
208.26,1,1,1,0
208.33,1,1,1,0
208.39,1,1,1,0
208.46,1,1,1,0
208.53,1,1,1,0
208.59,1,1,1,0
208.66,1,1,1,0
208.73,1,1,1,0
208.79,1,1,1,0
208.86,1,1,1,0
208.93,1,1,1,0
209.0,1,1,1,0
209.07,1,1,1,0
209.13,1,1,1,0
209.2,1,1,1,0
209.27,1,1,1,0
209.33,1,1,1,0
209.4,1,1,1,0
209.46,1,1,1,0
209.53,1,1,1,0
209.6,1,1,1,0
209.66,1,1,1,0
209.73,1,1,1,0
209.79,1,1,1,0
209.86,1,1,1,0
209.93,1,1,1,0
209.99,1,1,1,0
210.06,1,1,1,0
210.13,2,1,1,0
210.19,2,1,1,0
210.26,2,1,1,0
210.32,2,1,1,0
210.39,2,1,1,0
210.46,2,1,1,0
210.52,2,1,1,0
210.59,2,1,1,0
210.66,2,1,1,0
210.72,2,1,1,0
210.79,2,1,1,0
210.85,2,1,1,0
210.92,2,1,1,0
210.99,2,1,1,0
211.05,2,1,1,0
211.12,2,1,1,0
211.19,2,1,1,0
211.25,2,1,1,0
211.32,2,1,1,0
211.38,2,1,1,0
211.45,2,1,1,0
211.52,2,1,1,0
211.58,2,1,1,0
211.65,2,1,1,0
211.72,2,1,1,0
211.78,2,1,1,0
211.85,2,1,1,0
211.92,2,1,1,0
211.98,2,1,1,0
212.05,2,1,1,0
212.12,2,1,1,0
212.18,2,1,1,0
212.25,2,1,1,0
212.32,2,1,1,0
212.38,2,1,1,0
212.45,2,1,1,0
212.52,2,1,1,0
212.58,2,1,1,0
212.65,2,1,1,0
212.72,2,1,1,0
212.78,2,1,1,0
212.85,2,1,1,0
212.92,2,1,1,0
212.98,2,1,1,0
213.05,2,1,1,0
213.11,2,1,1,0
213.18,2,1,1,0
213.25,2,1,1,0
213.31,2,1,1,0
213.38,2,1,1,0
213.44,2,1,1,0
213.51,2,1,1,0
213.58,2,1,1,0
213.64,2,1,1,0
213.71,2,1,1,0
213.78,2,1,1,0
213.84,2,1,1,0
213.91,2,1,1,0
213.97,2,1,1,0
214.04,2,1,1,0
214.11,2,1,1,0
214.17,2,1,1,0
214.24,2,1,1,0
214.31,2,1,1,0
214.37,2,1,1,0
214.44,2,1,1,0
214.5,2,1,1,0
214.57,2,1,1,0
214.64,2,1,1,0
214.7,2,1,1,0
214.77,2,1,1,0
214.83,2,1,1,0
214.9,2,1,1,0
214.97,2,1,1,0
215.03,2,1,1,0
