ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
17.17,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.24,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.31,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.37,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.44,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.57,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.64,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.7,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.77,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.9,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.97,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.03,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.36,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
18.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.09,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.29,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.49,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.62,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
19.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.22,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.42,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.55,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.61,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
20.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.21,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.34,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.41,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.54,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.61,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.68,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.74,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
21.94,0.0,0.0,30.374217,130.959968,269.94,0.0,1
22.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
