ElapsedSec,Fall,BNOStaleSec
55.98,9.78,0.0
56.04,9.78,0.0
56.11,9.78,0.0
56.18,9.78,0.0
56.24,9.78,0.0
56.31,9.78,0.0
56.38,9.78,0.0
56.44,9.78,0.0
56.51,9.78,0.0
56.58,9.78,0.0
56.64,9.78,0.0
56.71,9.78,0.0
56.78,9.78,0.0
56.84,9.78,0.0
56.91,9.78,0.0
56.98,9.78,0.0
57.04,9.78,0.0
57.11,9.78,0.0
57.18,9.78,0.0
57.24,9.78,0.0
57.31,9.78,0.0
57.37,9.78,0.0
57.44,9.78,0.0
57.51,9.78,0.0
57.58,9.78,0.0
57.64,9.78,0.0
57.71,9.78,0.0
57.78,9.78,0.0
57.84,9.78,0.0
57.91,9.78,0.0
57.98,9.78,0.0
58.04,9.78,0.0
58.11,9.78,0.0
58.18,9.78,0.0
58.24,9.78,0.0
58.31,9.78,0.0
58.38,9.78,0.0
58.45,9.78,0.0
58.52,9.78,0.0
58.58,9.78,0.0
58.65,9.78,0.0
58.71,9.78,0.0
58.78,9.78,0.0
58.85,9.78,0.0
58.91,9.78,0.0
58.98,9.78,0.0
59.05,9.78,0.0
59.11,9.78,0.0
59.18,9.78,0.0
59.24,9.78,0.0
59.31,9.78,0.0
59.38,9.78,0.0
59.44,9.78,0.0
59.51,9.78,0.0
59.57,9.78,0.0
59.64,9.78,0.0
59.71,9.78,0.0
59.77,9.78,0.0
59.84,9.78,0.0
59.91,9.78,0.0
59.97,9.78,0.0
60.04,9.78,0.0
60.1,9.78,0.0
60.17,9.78,0.0
60.24,9.78,0.0
60.3,9.78,0.0
60.37,9.78,0.0
60.43,9.78,0.0
60.5,9.78,0.0
60.57,9.78,0.0
60.63,9.78,0.0
60.7,9.78,0.0
60.77,9.78,0.0
60.83,9.78,0.0
60.9,9.78,0.0
60.96,9.78,0.0
61.03,9.78,0.0
61.1,9.78,0.0
61.16,9.78,0.0
61.23,9.78,0.0
61.3,9.78,0.0
61.36,9.78,0.0
61.43,9.78,0.0
61.5,9.78,0.0
61.56,9.78,0.0
61.63,9.78,0.0
61.7,9.78,0.0
61.76,9.78,0.0
61.83,9.78,0.0
61.9,9.78,0.0
61.96,9.78,0.0
62.03,9.78,0.0
62.1,9.78,0.0
62.16,9.78,0.0
62.23,9.78,0.0
62.29,9.78,0.0
62.36,9.78,0.0
62.43,9.78,0.0
