ElapsedSec,LAT,LNG,GpsSpeedMps,GPSFixQual,GPSSats,GPSHdop
19.16,30.374767,130.960088,0.0,2,19,0.68
19.22,30.374767,130.960088,0.0,2,19,0.68
19.29,30.374767,130.960088,0.0,2,19,0.68
19.35,30.374767,130.960088,0.0,2,19,0.68
19.42,30.374767,130.960088,0.0,2,19,0.68
19.49,30.374767,130.960088,0.0,2,19,0.68
19.55,30.374767,130.960088,0.0,2,19,0.68
19.62,30.374767,130.960088,0.0,2,19,0.68
19.69,30.374767,130.960088,0.0,2,19,0.68
19.75,30.374767,130.960088,0.0,2,19,0.68
19.82,30.374767,130.960088,0.0,2,19,0.68
19.88,30.374767,130.960088,0.0,2,19,0.68
19.95,30.374767,130.960088,0.0,2,19,0.68
20.02,30.374767,130.960088,0.0,2,19,0.68
20.08,30.374767,130.960088,0.0,2,19,0.68
20.15,30.374767,130.960088,0.0,2,19,0.68
20.22,30.374767,130.960088,0.0,2,19,0.68
20.28,30.374767,130.960088,0.0,2,19,0.68
20.35,30.374767,130.960088,0.0,2,19,0.68
20.42,30.374767,130.960088,0.0,2,19,0.68
20.48,30.374767,130.960088,0.0,2,19,0.68
20.55,30.374767,130.960088,0.0,2,19,0.68
20.61,30.374767,130.960088,0.0,2,19,0.68
20.68,30.374767,130.960088,0.0,2,19,0.68
20.75,30.374767,130.960088,0.0,2,19,0.68
20.81,30.374767,130.960088,0.0,2,19,0.68
20.88,30.374767,130.960088,0.0,2,19,0.68
20.95,30.374767,130.960088,0.0,2,19,0.68
21.01,30.374767,130.960088,0.0,2,19,0.68
21.08,30.374767,130.960088,0.0,2,19,0.68
21.15,30.374767,130.960088,0.0,2,19,0.68
21.21,30.374767,130.960088,0.0,2,19,0.68
21.28,30.374767,130.960088,0.0,2,19,0.68
21.34,30.374767,130.960088,0.0,2,19,0.68
21.41,30.374765,130.960088,0.19,2,19,0.68
21.48,30.374765,130.960088,0.19,2,19,0.68
21.54,30.374765,130.960088,0.19,2,19,0.68
21.61,30.374765,130.960088,0.19,2,19,0.68
21.68,30.374765,130.960088,0.19,2,19,0.68
21.74,30.374765,130.960088,0.19,2,19,0.68
21.81,30.374765,130.960088,0.19,2,19,0.68
21.88,30.374765,130.960088,0.19,2,19,0.68
21.94,30.374765,130.960088,0.19,2,19,0.68
22.01,30.374765,130.960088,0.19,2,19,0.68
22.08,30.374765,130.960088,0.19,2,19,0.68
22.14,30.374765,130.960088,0.19,2,19,0.68
22.21,30.374765,130.960088,0.19,2,19,0.68
22.28,30.374765,130.960088,0.19,2,19,0.68
