ElapsedSec,MagX,MagY,MagZ
30.91,520.88,-81.25,201.75
30.98,520.88,-81.25,201.75
31.05,520.88,-81.25,201.75
31.11,520.88,-81.25,201.75
31.18,520.88,-81.25,201.75
31.25,520.88,-81.25,201.75
31.31,520.88,-81.25,201.75
31.38,520.88,-81.25,201.75
31.45,520.88,-81.25,201.75
31.52,520.88,-81.25,201.75
31.58,520.88,-81.25,201.75
31.65,520.88,-81.25,201.75
31.72,520.88,-81.25,201.75
31.79,520.88,-81.25,201.75
31.85,520.88,-81.25,201.75
31.92,520.88,-81.25,201.75
31.99,520.88,-81.25,201.75
32.05,520.88,-81.25,201.75
32.12,520.88,-81.25,201.75
32.18,520.88,-81.25,201.75
32.25,520.88,-81.25,201.75
32.32,520.88,-81.25,201.75
32.38,520.88,-81.25,201.75
32.45,520.88,-81.25,201.75
32.51,520.88,-81.25,201.75
32.58,520.88,-81.25,201.75
32.65,520.88,-81.25,201.75
32.71,520.88,-81.25,201.75
32.78,520.88,-81.25,201.75
32.84,520.88,-81.25,201.75
32.91,520.88,-81.25,201.75
32.98,520.88,-81.25,201.75
33.04,520.88,-81.25,201.75
33.11,520.88,-81.25,201.75
33.17,520.88,-81.25,201.75
33.24,520.88,-81.25,201.75
33.31,520.88,-81.25,201.75
33.37,520.88,-81.25,201.75
33.44,520.88,-81.25,201.75
33.51,520.88,-81.25,201.75
33.57,520.88,-81.25,201.75
33.64,520.88,-81.25,201.75
33.71,520.88,-81.25,201.75
33.77,520.88,-81.25,201.75
33.84,520.88,-81.25,201.75
33.9,520.88,-81.25,201.75
33.97,520.88,-81.25,201.75
34.04,520.88,-81.25,201.75
34.11,520.88,-81.25,201.75
34.18,520.88,-81.25,201.75
34.24,520.88,-81.25,201.75
34.31,520.88,-81.25,201.75
34.37,520.88,-81.25,201.75
34.44,520.88,-81.25,201.75
34.51,520.88,-81.25,201.75
34.57,520.88,-81.25,201.75
34.64,520.88,-81.25,201.75
34.71,520.88,-81.25,201.75
34.77,520.88,-81.25,201.75
34.84,520.88,-81.25,201.75
34.9,520.88,-81.25,201.75
34.97,520.88,-81.25,201.75
35.04,520.88,-81.25,201.75
35.1,520.88,-81.25,201.75
35.17,520.88,-81.25,201.75
35.24,520.88,-81.25,201.75
35.3,520.88,-81.25,201.75
35.37,520.88,-81.25,201.75
35.44,520.88,-81.25,201.75
35.5,520.88,-81.25,201.75
35.57,520.88,-81.25,201.75
35.63,520.88,-81.25,201.75
35.7,520.88,-81.25,201.75
